STEP 0; EVENT position; UNIT rover-1; POSITION Coordinate[X=8, Y=6];
STEP 293; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=14, Y=2];
STEP 294; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=13, Y=2];
STEP 295; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=12, Y=2];
STEP 296; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=2];
STEP 297; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=3];
STEP 298; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=4];
STEP 299; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=5];
STEP 300; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 301; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 302; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 303; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=12, Y=6];
STEP 304; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=13, Y=6];
STEP 305; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=6];
STEP 306; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=5];
STEP 307; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=4];
STEP 308; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=3];
STEP 309; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=2];
STEP 310; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-1; POSITION Coordinate[X=14, Y=2];
STEP 311; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=14, Y=2];
STEP 312; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=13, Y=2];
STEP 313; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=12, Y=2];
STEP 314; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=2];
STEP 315; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=3];
STEP 316; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=4];
STEP 317; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=5];
STEP 318; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 319; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 320; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 321; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=12, Y=6];
STEP 322; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=13, Y=6];
STEP 323; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=6];
STEP 324; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=5];
STEP 325; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=4];
STEP 326; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=3];
STEP 327; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=2];
STEP 328; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-1; POSITION Coordinate[X=14, Y=2];
STEP 329; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=14, Y=2];
STEP 330; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=13, Y=2];
STEP 331; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=12, Y=2];
STEP 332; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=2];
STEP 333; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=3];
STEP 334; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=4];
STEP 335; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=5];
STEP 336; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 337; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 338; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 338; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=10, Y=7];
STEP 339; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=12, Y=6];
STEP 339; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=9, Y=7];
STEP 340; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=13, Y=6];
STEP 340; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=8, Y=7];
STEP 341; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=6];
STEP 341; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=7, Y=7];
STEP 342; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=5];
STEP 342; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=7, Y=8];
STEP 343; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=4];
STEP 343; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=7, Y=9];
STEP 344; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=3];
STEP 344; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=7, Y=10];
STEP 345; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=2];
STEP 345; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-2; POSITION Coordinate[X=7, Y=10];
STEP 346; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-1; POSITION Coordinate[X=14, Y=2];
STEP 346; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=7, Y=10];
STEP 347; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=14, Y=2];
STEP 347; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=8, Y=10];
STEP 348; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=13, Y=2];
STEP 348; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=9, Y=10];
STEP 349; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=12, Y=2];
STEP 349; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=10, Y=10];
STEP 350; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=2];
STEP 350; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=11, Y=10];
STEP 351; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=3];
STEP 351; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=11, Y=9];
STEP 352; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=4];
STEP 352; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=11, Y=8];
STEP 353; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=5];
STEP 353; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-2; POSITION Coordinate[X=11, Y=8];
STEP 354; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 354; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=11, Y=8];
STEP 355; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 355; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=10, Y=8];
STEP 356; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 356; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=9, Y=8];
STEP 357; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=12, Y=6];
STEP 357; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=8, Y=8];
STEP 358; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=13, Y=6];
STEP 358; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=7, Y=8];
STEP 359; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=6];
STEP 359; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=7, Y=9];
STEP 360; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=5];
STEP 360; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=7, Y=10];
STEP 361; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=4];
STEP 361; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-2; POSITION Coordinate[X=7, Y=10];
STEP 362; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=3];
STEP 362; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=7, Y=10];
STEP 363; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=2];
STEP 363; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=8, Y=10];
STEP 364; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-1; POSITION Coordinate[X=14, Y=2];
STEP 364; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=9, Y=10];
STEP 365; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=14, Y=2];
STEP 365; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=10, Y=10];
STEP 366; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=13, Y=2];
STEP 366; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=11, Y=10];
STEP 367; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=12, Y=2];
STEP 367; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=11, Y=9];
STEP 368; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=2];
STEP 368; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=11, Y=8];
STEP 369; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=3];
STEP 369; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-2; POSITION Coordinate[X=11, Y=8];
STEP 370; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=4];
STEP 370; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=11, Y=8];
STEP 371; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=5];
STEP 371; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=10, Y=8];
STEP 372; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 372; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=9, Y=8];
STEP 373; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 373; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=8, Y=8];
STEP 374; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 374; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=7, Y=8];
STEP 375; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=12, Y=6];
STEP 375; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=7, Y=9];
STEP 376; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=13, Y=6];
STEP 376; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=7, Y=10];
STEP 377; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=6];
STEP 377; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-2; POSITION Coordinate[X=7, Y=10];
STEP 378; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=5];
STEP 378; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=7, Y=10];
STEP 379; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=4];
STEP 379; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=8, Y=10];
STEP 380; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=3];
STEP 380; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=9, Y=10];
STEP 381; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=2];
STEP 381; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=10, Y=10];
STEP 382; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-1; POSITION Coordinate[X=14, Y=2];
STEP 382; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=11, Y=10];
STEP 383; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=14, Y=2];
STEP 383; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=11, Y=9];
STEP 384; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=13, Y=2];
STEP 384; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=11, Y=8];
STEP 385; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=12, Y=2];
STEP 385; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-2; POSITION Coordinate[X=11, Y=8];
STEP 386; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=2];
STEP 386; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=11, Y=8];
STEP 386; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-3; POSITION Coordinate[X=11, Y=6];
STEP 387; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=3];
STEP 387; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=10, Y=8];
STEP 387; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-3; POSITION Coordinate[X=12, Y=6];
STEP 388; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=4];
STEP 388; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=9, Y=8];
STEP 388; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-3; POSITION Coordinate[X=13, Y=6];
STEP 389; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=5];
STEP 389; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=8, Y=8];
STEP 389; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-3; POSITION Coordinate[X=14, Y=6];
STEP 390; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 390; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=7, Y=8];
STEP 390; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-3; POSITION Coordinate[X=15, Y=6];
STEP 391; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 391; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=7, Y=9];
STEP 391; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-3; POSITION Coordinate[X=15, Y=5];
STEP 392; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 392; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=7, Y=10];
STEP 392; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-3; POSITION Coordinate[X=15, Y=5];
STEP 393; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=12, Y=6];
STEP 393; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-2; POSITION Coordinate[X=7, Y=10];
STEP 393; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-3; POSITION Coordinate[X=15, Y=5];
STEP 394; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=13, Y=6];
STEP 394; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=7, Y=10];
STEP 394; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-3; POSITION Coordinate[X=14, Y=5];
STEP 395; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=6];
STEP 395; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=8, Y=10];
STEP 395; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-3; POSITION Coordinate[X=13, Y=5];
STEP 396; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=5];
STEP 396; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=9, Y=10];
STEP 396; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-3; POSITION Coordinate[X=12, Y=5];
STEP 397; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=4];
STEP 397; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=10, Y=10];
STEP 397; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-3; POSITION Coordinate[X=11, Y=5];
STEP 398; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=3];
STEP 398; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=11, Y=10];
STEP 398; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-3; POSITION Coordinate[X=11, Y=6];
STEP 399; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=2];
STEP 399; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=11, Y=9];
STEP 399; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-3; POSITION Coordinate[X=11, Y=6];
STEP 400; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-1; POSITION Coordinate[X=14, Y=2];
STEP 400; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=11, Y=8];
STEP 400; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-3; POSITION Coordinate[X=11, Y=6];
STEP 401; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=14, Y=2];
STEP 401; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-2; POSITION Coordinate[X=11, Y=8];
STEP 401; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-3; POSITION Coordinate[X=12, Y=6];
STEP 402; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=13, Y=2];
STEP 402; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=11, Y=8];
STEP 402; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-3; POSITION Coordinate[X=13, Y=6];
STEP 403; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=12, Y=2];
STEP 403; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=10, Y=8];
STEP 403; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-3; POSITION Coordinate[X=14, Y=6];
STEP 404; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=2];
STEP 404; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=9, Y=8];
STEP 404; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-3; POSITION Coordinate[X=15, Y=6];
STEP 405; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=3];
STEP 405; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=8, Y=8];
